用語,正しい意味,不正解1,不正解2,やさしい日本語,インドネシア語,解説,画像ファイル名
IADL,手段的日常生活動作,生活の質,関節可動域,にちじょうの ふくざつな うごき,Aktivitas Kehidupan Sehari-hari Instrumental,買い物や電話など複雑な日常生活動作のことです。,no.png
QOL,生活の質,手段的日常生活動作,リハビリテーション,せいかつの しつ,Kualitas Hidup,その人らしく満足して暮らせているかという指標です。,no.png
ROM,関節可動域,生活の質,リハビリテーション,かんせつが うごく はんい,Rentang Gerak Sendi,関節を動かすことができる範囲のことです。,no.png
リハ,リハビリテーション,理学療法士,作業療法士,きのうを かいふくする くんれん,Rehabilitasi,機能回復や維持のためのトレーニングです。,no.png
PT,理学療法士,作業療法士,言語聴覚士,からだの リハビリを する ひと,Fisioterapis,寝返る、起き上がる、歩くなどの基本動作を支援する専門職です。,no.png
OT,作業療法士,理学療法士,言語聴覚士,てさきや にちじょうの リハビリを する ひと,Okupasi Terapis,入浴や食事など、日常生活の応用的な動作を支援する専門職です。,no.png
ST,言語聴覚士,理学療法士,作業療法士,ことばや たべる リハビリを する ひと,Terapis Bicara,話すことや食べること（嚥下）を支援する専門職です。,no.png
ケアプラン,介護サービス計画,利用者の状態評価,状態の継続確認,かいごの けいかくしょ,Rencana Asuhan Keperawatan,どのような介護サービスを受けるかをまとめた計画書です。,no.png
アセスメント,利用者の状態評価,介護サービス計画,状態の継続確認,りようしゃの じょうたいを しらべること,Asesmen / Evaluasi Kondisi,利用者の心身の状態や課題を分析・評価することです。,no.png
モニタリング,状態の継続確認,利用者の状態評価,関係職種による会議,けいかくどおりか かくにんすること,Monitoring / Pemantauan,立てた計画がうまく進んでいるか定期的に見直すことです。,no.png
サービス担当者会議,関係職種による会議,状態の継続確認,介護支援専門員,せんもんかたちが あつまる かいぎ,Rapat Tim Asuhan / Konferensi Kasus,利用者を支える専門職が集まって方針を話し合う会議です。,no.png
ケアマネ,介護支援専門員,関係職種による会議,理学療法士,けいかくを たてる せんもんしょく,Manajer Care / Manajer Kasus,ケアプランを作成し、サービスを調整する専門職です。,no.png
拘縮,関節が動かしにくくなること,身体が動かしにくい状態,尿・便を我慢できない状態,かんせつが かたまること,Kontraktur,動かさないことで関節が固まってしまう状態です。,no.png
麻痺,身体が動かしにくい状態,関節が動かしにくくなること,尿・便を我慢できない状態,からだの いちぶが うごかないこと,Kelumpuhan / Paralisis,神経のトラブルなどで手足が動かなくなる状態です。,no.png
失禁,尿・便を我慢できない状態,尿をしたい感覚,便をしたい感覚,おしっこや うんちを もらすこと,Inkontinensia,自分の意思とは関係なく排泄してしまうことです。,no.png
尿意,尿をしたい感覚,便をしたい感覚,尿・便を我慢できない状態,おしっこを したい かんかく,Keinginan Buang Air Kecil,おしっこが出そうだと感じる感覚です。,no.png
便意,便をしたい感覚,尿をしたい感覚,尿・便を我慢できない状態,うんちを したい かんかく,Keinginan Buang Air Besar,うんちが出そうだと感じる感覚です。,no.png
BPSD,認知症に伴う行動・心理症状,記憶・判断などの能力,歩き回る行動,にんちしょうの こうどう・しんりしょうじょう,Gejala Perilaku dan Psikologis Demensia,認知症によって起こる徘徊や妄想、興奮などの症状です。,no.png
認知機能,記憶・判断などの能力,認知症に伴う行動・心理症状,急性の意識混乱,おぼえたり はんだんしたり する ちから,Fungsi Kognitif,記憶、見当識、計算、理解などの知的な能力のことです。,no.png
徘徊,歩き回る行動,落ち着きがない状態,急性の意識混乱,あてもなく あるきまわること,Mengembara / Keluyuran,目的が分からずに歩き回ってしまう行動のことです。,no.png
不穏,落ち着きがない状態,急性の意識混乱,歩き回る行動,こころが おちつかない じょうたい,Gelisah / Agitasi,気分が落ち着かず、ソワソワしたり興奮したりする状態です。,no.png
せん妄,急性の意識混乱,落ち着きがない状態,記憶・判断などの能力,きゅうな いしきの こんらん,Delirium / Kebingungan Akut,意識が一時的に混乱し、幻覚などが見られる急性の状態です。,no.png
感染対策,感染予防の取り組み,すべての人に行う感染予防,楽な姿勢を保つ支援,びょうきを うつさない とりくみ,Tindakan Pencegahan Infeksi,ウイルスや細菌を広げないための具体的な予防策です。,no.png
標準予防策,すべての人に行う感染予防,感染予防の取り組み,楽な姿勢を保つ支援,だれにでも おこなう よぼうさく,Kewaspadaan Standar,すべての利用者を対象に、血液や体液に触れないよう対策することです。,no.png
ポジショニング,楽な姿勢を保つ支援,姿勢を変えること,排泄の習慣,らくな しせいを つくること,Positioning / Pengaturan Posisi,クッションなどを使って、体に負担のない楽な姿勢を作ることです。,no.png
体位変換,姿勢を変えること,楽な姿勢を保つ支援,排泄の習慣,ねる むきを かえること,Mengubah Posisi Tubuh,床ずれ（褥瘡）を防ぐために、定期的に寝る向きを変えることです。,no.png
排泄パターン,排泄の習慣,排泄の習慣,人生の最終段階のケア,はいせつの タイミングや むつき,Pola Eliminasi / Kebiasaan BAB-BAK,その人が何時ごろにトイレに行くかという一定の習慣・傾向です。,no.png
看取り,人生の最終段階のケア,事故には至らなかった出来事,「ヒヤリ」とした事例,さいごの ときを みまもる ケア,Perawatan Akhir Hayat,人生の最期をその人らしく穏やかに迎えられるよう支えるケアです。,no.png
インシデント,事故には至らなかった出来事,「ヒヤリ」とした事例,人生の最終段階のケア,じこに なりそうだった こと,Insiden / Kejadian Nyaris Cedera,一歩間違えれば事故になったが、手前で防げた出来事です。,no.png
ヒヤリハット,「ヒヤリ」とした事例,事故には至らなかった出来事,関係職種による会議,ひやりとしたり はっとした こと,Kejadian Nyaris Celaka (Hiyari-hatto),業務中に「ヒヤリ」としたり「ハッ」としたりした危ない経験のことです。,no.png
